Term;Stemmed;Variations;Frequency
generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;generalizednewtypederiving 2nd 3rd;0
abstract data type;abstract data type;abstract data type;0
algebraic data structure;algebraic data structure;algebraic data structure;0
trick;trick;trick;34
euclid;euclid;euclid;0
mainloop keyword;mainloop keyword;mainloop keyword;0
fundamental rule;fundamental rule;fundamental rules, fundamental rule;2
list operator;list operator;list operators, list operator;0
monoid;monoid;monoids, monoid;0
getattr;getattr;getattr;51
manufacturer id of barcodes;manufacturer id of barcodes;manufacturer ID of barcodes, manufacturer id of barcodes;0
malloc c function;malloc c function;malloc c function;0
context manager;context manager;context manager;0
stdin function;stdin function;stdin function;0
import;import;import;112
reading;reading;reading;69
inorder;inorder;inorder;0
spine for maps;spine for map;spines for maps, spine for maps;0
System.Time module;System.Time module;System.Time module;0
triple (3-tuple);triple (3-tuple);triple (3-tuple);0
list as parameter;list a parameter;list as parameter;0
abecedarian;abecedarian;abecedarian;0
serialization;serialization;serialization;0
file type;file type;file type;1
composable functors;composable functors;composable functors;0
lists and tuple;list and tuple;lists and tuples, lists and tuple;0
widget descriptions saved a;widget description saved a;widget descriptions saved as, widget descriptions saved a;0
installation;installation;installation;8
handle exception;handle exception;handle exception;4
tab (\t) character;tab (\ t ) character;tab (\t) character;0
python setup;python setup;python setup;2
hsc2hs command;hsc2hs command;hsc2hs command;0
runtime option;runtime option;runtime options, runtime option;0
interface file;interface file;interface files, interface file;0
expression;expression;expressions, expression;223
type variable;type variable;type variables, type variable;0
float type;float type;float type;0
PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);PCRE (Perl-compatible regular expression);0
filtering;filtering;filtering;19
python class;python class;python classes, python class;11
continuation;continuation;continuations, continuation;7
index specify;index specify;index specifies, index specify;0
quot function;quot function;quot function;0
hoogle;hoogle;hoogle;0
hello world;hello world;hello world;0
GUI (graphical user interface) programming;gui ( graphical user interface ) programming;GUI (graphical user interface) programming;0
INSERT query;insert query;INSERT queries, INSERT query;0
similar string;similar string;similar string;0
class declaration;class declaration;class declarations, class declaration;0
list traversal;list traversal;list traversal;0
side effect;side effect;side effects, side effect;4
external;external;external;2
encapsulation;encapsulation;encapsulation;0
specializing for io;specializing for io;specializing for IO, specializing for io;0
case;case;cases, case;211
ranges (pattern matching);range ( pattern matching );ranges (pattern matching);0
mutable object;mutable object;mutable objects, mutable object;0
specific handler;specific handler;specific handler;2
compile;compile;compile;12
java programming language;java programming language;java programming language;0
Control.Parallel module;Control.Parallel module;Control.Parallel module;0
modification time;modification time;modification times, modification time;0
exceptions 2nd;exception 2nd;exceptions 2nd;0
strict and lazy;strict and lazy;strict and lazy;0
System.Random module;System.Random module;System.Random module;0
concatenation;concatenation;concatenation;6
binary;binary;binary;10
same name;same name;same name;8
System.Exit module;System.Exit module;System.Exit module;0
second function;second function;second function;1
left value 2nd;left value 2nd;left value 2nd;0
html;html;html;106
arbitrary function;arbitrary function;arbitrary function;2
document;document;document;121
bangpattern;bangpattern;bangpatterns, bangpattern;0
standard module;standard module;standard module;1
web server;web server;web servers, web server;2
haselfmagic function;haselfmagic function;haselfmagic function;0
running;running;running;36
append method;append method;append method;0
report flag (hpc);report flag ( hpc );report flag (hpc);0
interact function;interact function;interact function;0
memory usage;memory usage;memory usage;1
default value;default value;default values, default value;16
model;model;models, model;8
System.IO library;System.IO library;System.IO library;0
comment;comment;comments, comment;25
line constructor;line constructor;line constructor;0
entire xml;entire xml;entire xml;5
adding safely to PCRE;adding safely to PCRE;adding safely to PCRE;0
developer kit;developer kit;developer kit;2
composite data types;composite data types;composite data types;0
typesynonyminstances 2nd;typesynonyminstances 2nd;typesynonyminstances 2nd;0
deconstructor;deconstructor;deconstructors, deconstructor;0
client code;client code;client code;0
getprocessstatus function;getprocessstatus function;getprocessstatus function;0
compound statement body;compound statement body;compound statement body;0
standard error;standard error;standard error;4
readint function 2nd;readint function 2nd;readint function 2nd;0
read;read;read;100
copy module;copy module;copy module;0
linear time;linear time;linear time;0
module declaration;module declaration;module declarations, module declaration;0
standard type;standard type;standard type;0
podcatcher;podcatcher;podcatcher;0
constant applicative forms (CAFs);constant applicative form ( cafs );constant applicative forms (CAFs);0
quickcheck 2nd;quickcheck 2nd;quickcheck 2nd;0
peek function;peek function;peek function;0
server;server;servers, server;130
big and hairy expression;big and hairy expression;big and hairy expression;0
multiparamtypeclass;multiparamtypeclass;multiparamtypeclasses, multiparamtypeclass;0
output;output;output;98
parsetimes function;parsetimes function;parsetimes function;0
take function;take function;take function;0
line function;line function;line function;4
generic data structure;generic data structure;generic data structure;0
extra processing;extra processing;extra processing;2
forkmanaged function;forkmanaged function;forkmanaged function;0
statet monad transformer;statet monad transformer;statet monad transformer;0
function;function;functions, function;787
same datum;same datum;same data, same datum;0
subtype polymorphism;subtype polymorphism;subtype polymorphism;0
frabjuou;frabjuou;frabjuous, frabjuou;0
real file;real file;real files, real file;4
child socket;child socket;child sockets, child socket;0
identity transformation (foldr);identity transformation ( foldr );identity transformation (foldr);0
programming language;programming language;programming languages, programming language;5
foldr function 2nd;foldr function 2nd;foldr function 2nd;0
shared-state;shared-state;shared-state;0
inductive case;inductive case;inductive case;0
EAN-13 barcodes;EAN-13 barcodes;EAN-13 barcodes;0
method dictionary;method dictionary;method dictionary;0
__name__;__name__;__name__;18
solution map;solution map;solution maps, solution map;0
full test;full test;full test;0
cons operator;con operator;cons operator;0
package;package;packages, package;44
delete function;delete function;delete function;0
test suite;test suite;test suite;22
parsing xml;parsing xml;parsing xml;9
current working directory;current working directory;current working directory;6
writer type;writer type;writer type;0
evaluation strategy;evaluation strategy;evaluation strategies, evaluation strategy;0
generator expression;generator expression;generator expressions, generator expression;0
os;os;os;454
Parsec CSV file;parsec csv file;Parsec CSV files, Parsec CSV file;0
examples directory;example directory;examples directory;13
recip function;recip function;recip function;0
split-base Cabal flag;split-base Cabal flag;split-base Cabal flag;0
help command (ghci);help command ( ghci );help command (ghci);0
:set prompt 2nd;: set prompt 2nd;:set prompt 2nd;0
image;image;image;2
program crash;program crash;program crashes, program crash;5
openfile function 2nd;openfile function 2nd;openfile function 2nd;0
high-order function;high-order function;high-order functions, high-order function;0
operator;operator;operators, operator;8
pivot;pivot;pivots, pivot;0
class definition;class definition;class definitions, class definition;2
circular buffer;circular buffer;circular buffer;0
strict;strict;strict;0
pcre_fullinfo function;pcre_fullinfo function;pcre_fullinfo function;0
gtk2h;gtk2h;gtk2hs, gtk2h;0
rational type;rational type;rational type;0
modifyMVar function;modifymvar function;modifyMVar function;0
current instance;current instance;current instance;5
I/O (input/output);I/O (input/output);I/O (input/output);0
components (types);component ( type );components (types);0
multitasking;multitasking;multitasking;0
timing framework;timing framework;timing framework;3
nondeterministic value;nondeterministic value;nondeterministic values, nondeterministic value;0
default;default;default;59
sin function;sin function;sin function;0
bloom filter;bloom filter;bloom filters, bloom filter;0
xml schema;xml schema;xml schema;2
tag name;tag name;tag name;6
discriminated union;discriminated union;discriminated unions, discriminated union;0
applicative style;applicative style;applicative style;0
list comprehension;list comprehension;list comprehensions, list comprehension;40
GUI programming;gui programming;GUI programming;0
file;file;files, file;407
unsafeIOToSTM function;unsafeiotostm function;unsafeIOToSTM function;0
handle function;handle function;handle function;0
function frame;function frame;function frame;0
point class;point class;point class;0
break statement;break statement;break statement;0
vs. I/O;vs. I/O;vs. I/O;0
time;time;times, time;167
server send;server send;server sends, server send;0
applicative operator;applicative operator;applicative operator;0
html entity;html entity;html entity;3
remote;remote;remote;27
user-defined data type;user-defined data type;user-defined data type;0
projection function;projection function;projection functions, projection function;0
built-in datatype;built-in datatype;built-in datatypes, built-in datatype;9
association list;association list;association list;0
hprint function;hprint function;hprint function;0
directory;directory;directories, directory;114
objects 2nd;object 2nd;objects 2nd;0
type inference;type inference;type inference;0
pcre_compile function;pcre_compile function;pcre_compile function;0
sqrt function;sqrt function;sqrt function;0
web service;web service;web services, web service;51
address book;address book;address book;2
original list;original list;original list;6
fromrational function;fromrational function;fromrational function;0
generalize;generalize;generalize;2
dot notation;dot notation;dot notation;0
follow;follow;follows, follow;9
declarations (module);declaration ( module );declarations (module);0
maybe implementation;maybe implementation;maybe implementation;0
infinite loop;infinite loop;infinite loop;1
inductive/recursive case;inductive/recursive case;inductive/recursive case;0
hputstrln function;hputstrln function;hputstrln function;0
tail;tail;tail;0
program;program;programs, program;121
lift function 2nd;lift function 2nd;lift function 2nd;0
immutable;immutable;immutable;4
class constraint;class constraint;class constraints, class constraint;0
cases (value constructors);case ( value constructor );cases (value constructors);0
first-class object;first-class object;first-class objects, first-class object;0
-fvia-C option;-fvia-C option;-fvia-C option;0
balancing;balancing;balancing;0
real dictionary;real dictionary;real dictionary;7
throw function;throw function;throw function;0
improved queue;improved queue;improved queue;0
reader monad;reader monad;reader monad;0
list;list;lists, list;504
mapreduce;mapreduce;mapreduce;0
blockbuffering mode (buffermode);blockbuffering mode ( buffermode );blockbuffering mode (buffermode);0
function definition;function definition;function definition;1
two-dimensional array;two-dimensional array;two-dimensional arrays, two-dimensional array;0
systems programming;system programming;systems programming;0
different thing;different thing;different things, different thing;3
configuration management;configuration management;configuration management;0
built-in;built-in;built-in;71
input source;input source;input sources, input source;9
PCRE libraries and;PCRE libraries and;PCRE libraries and;0
syslog;syslog;syslog;0
form function;form function;form function;0
ghemawat;ghemawat;ghemawat;0
computational pattern;computational pattern;computational pattern;0
recursive data structure;recursive data structure;recursive data structure;0
escaping text;escaping text;escaping text;0
color image;color image;color images, color image;0
section;section;sections, section;63
version;version;version;60
closure function;closure function;closure function;0
permanent address;permanent address;permanent address;2
bounded variable;bounded variable;bounded variables, bounded variable;0
actual search;actual search;actual search;2
escaping;escaping;escaping;0
compile function;compile function;compile function;0
url library;url library;url library;3
metadatum;metadatum;metadata, metadatum;0
writert monad transformer;writert monad transformer;writert monad transformer;0
supplying random number;supplying random number;supplying random numbers, supplying random number;0
natural way;natural way;natural way;0
search;search;search;88
System.IO.Error module;System.IO.Error module;System.IO.Error module;0
python tutorial;python tutorial;python tutorial;14
template engine;template engine;template engine;0
escape character;escape character;escape characters, escape character;1
abstraction layer;abstraction layer;abstraction layers, abstraction layer;0
action;action;actions, action;1
Exposed-Modules field;Exposed-Modules field;Exposed-Modules field;0
verbose;verbose;verbose;18
layer;layer;layer;3
programmable semicolon;programmable semicolon;programmable semicolon;0
modifier function;modifier function;modifier function;0
function composition;function composition;function composition;0
coercion;coercion;coercion;4
executable;executable;executables, executable;0
final keyword;final keyword;final keyword;0
code block;code block;code blocks, code block;10
JSON (JavaScript Object Notation);json ( javascript object notation );JSON (JavaScript Object Notation);0
parent class;parent class;parent class;0
STM monad;stm monad;STM monad;0
arrays 2nd 3rd;array 2nd 3rd;arrays 2nd 3rd;0
sepby function;sepby function;sepby function;0
h function;h function;h functions, h function;0
same list;same list;same list;1
calling function;calling function;calling function;7
group function;group function;group function;0
flag;flag;flags, flag;61
POSIX regular expressions;POSIX regular expressions;POSIX regular expressions;0
text file;text file;text file;1
case expression;case expression;case expressions, case expression;0
none;none;none;50
immutable data type;immutable data type;immutable data type;0
xor function;xor function;xor function;0
installing;installing;installing;15
capture group;capture group;capture groups, capture group;0
unsafePerformIO function;unsafeperformio function;unsafePerformIO function;0
JSON typclass;json typclass;JSON typclasses, JSON typclass;0
applicative value;applicative value;applicative value;0
python reference manual;python reference manual;python reference manual;6
readfile function 2nd 3rd;readfile function 2nd 3rd;readfile function 2nd 3rd;0
scan;scan;scan;2
sense;sense;sense;21
seekmode parameter (htell);seekmode parameter ( htell );seekmode parameter (htell);0
return function;return function;return function;0
join function;join function;join function;0
information;information;information;39
recursive;recursive;recursive;1
mapm;mapm;mapm;0
applicative law;applicative law;applicative laws, applicative law;0
boolean algebra;boolean algebra;boolean algebra;0
mutable;mutable;mutable;2
total function;total function;total functions, total function;0
Reverse Polish Notation (RPN);reverse polish notation ( rpn );Reverse Polish Notation (RPN);0
GHC (Glasgow Haskell Compiler);ghc ( glasgow haskell compiler );GHC (Glasgow Haskell Compiler);0
making instance;making instance;making instances, making instance;0
modu import;modu import;modu import;0
maxium function;maxium function;maxium function;0
using multiple;using multiple;using multiple;0
sqlvalues type;sqlvalues type;sqlvalues type;0
documentation;documentation;documentation;8
fibonacci function;fibonacci function;fibonacci function;0
django;django;django;0
log function;log function;log function;0
lookaheads (regular expressions);lookaheads ( regular expression );lookaheads (regular expressions);0
dynamic binding;dynamic binding;dynamic binding;2
monadstate typeclass;monadstate typeclass;monadstate typeclass;0
arbitrary typeclass 2nd 3rd;arbitrary typeclass 2nd 3rd;arbitrary typeclass 2nd 3rd;0
special class;special class;special class;14
unsafe keyword;unsafe keyword;unsafe keyword;0
call;call;calls, call;227
initialization method;initialization method;initialization method;0
encoding;encoding;encoding;38
initializing;initializing;initializing;5
pwd command;pwd command;pwd command;0
using strong type;using strong type;using strong types, using strong type;0
c preprocessor;c preprocessor;c preprocessor;0
return;return;returns, return;304
python programming extending;python programming extending;python programming extending;0
python library reference;python library reference;python library reference;18
framework;framework;framework;12
special method;special method;special methods, special method;26
python programmer;python programmer;python programmers, python programmer;1
unix-compat package;unix-compat package;unix-compat package;0
buffering;buffering;buffering;1
mapreduce (google);mapreduce ( google );mapreduce (google);0
end tag;end tag;end tags, end tag;11
high-level wrapper;high-level wrapper;high-level wrappers, high-level wrapper;0
using list comprehension;using list comprehension;using list comprehension;6
single element;single element;single element;2
deferred computation;deferred computation;deferred computation;0
operator override;operator override;operator override;0
opentempfile function;opentempfile function;opentempfile function;0
circular equality;circular equality;circular equality;0
left-associative;left-associative;left-associative;0
Data.Array module;Data.Array module;Data.Array module;0
pure code;pure code;pure code;0
functor;functor;functors, functor;0
command- line;command- line;command- line;0
invalid index;invalid index;invalid index;2
laziness and space leak;laziness and space leak;laziness and space leaks, laziness and space leak;0
sizing safely;sizing safely;sizing safely;0
operation;operation;operations, operation;5
marshaling;marshaling;marshaling;0
same thing;same thing;same thing;21
item;item;items, item;24
netpbm file format 2nd;netpbm file format 2nd;netpbm file format 2nd;0
recursive equality;recursive equality;recursive equality;0
print;print;print;69
evaluation;evaluation;evaluation;0
text mode;text mode;text mode;1
LANGUAGE pragma;language pragma;LANGUAGE pragmas, LANGUAGE pragma;0
System.Posix module;System.Posix module;System.Posix module;0
static type;static type;static types, static type;0
hClose function 2nd;hClose function 2nd;hClose function 2nd;0
explicit recursion;explicit recursion;explicit recursion;0
html processing;html processing;html processing;8
drivers (HDBC);driver ( hdbc );drivers (HDBC);0
definition;definition;definitions, definition;16
value comparison;value comparison;value comparisons, value comparison;0
thread;thread;threads, thread;0
helper function;helper function;helper function;1
event-driven programming;event-driven programming;event-driven programming;0
describetable function;describetable function;describetable function;0
file processing;file processing;file processing;0
casual parsing for;casual parsing for;casual parsing for;0
>>= (bind) function;>>= ( bind ) function;>>= (bind) function;0
the state monad;the state monad;the state monad;0
stacking multiple;stacking multiple;stacking multiple;0
compound data type;compound data type;compound data type;0
truncate function 2nd;truncate function 2nd;truncate function 2nd;0
number;number;numbers, number;145
linking;linking;linking;0
your code;your code;your code;18
Data.Char module;Data.Char module;Data.Char module;0
unwords function;unwords function;unwords function;0
marshaling datum;marshaling datum;marshaling data, marshaling datum;0
script;script;script;75
introduction;introduction;introduction;5
interact;interact;interact;0
output buffer;output buffer;output buffer;3
readert monad layer;readert monad layer;readert monad layer;0
statement;statement;statements, statement;71
typesynonyminstances language extension 2nd;typesynonyminstances language extension 2nd;typesynonyminstances language extension 2nd;0
(>>=) function and 2nd 3rd;(>>=) function and 2nd 3rd;(>>=) function and 2nd 3rd;0
.tix file;.tix file;.tix files, .tix file;0
System.Environment module;System.Environment module;System.Environment module;0
html version;html version;html version;2
declaring instance;declaring instance;declaring instances, declaring instance;0
fst function 2nd;fst function 2nd;fst function 2nd;0
negative number;negative number;negative numbers, negative number;2
Glasgow Haskell Compiler (GHC);glasgow haskell compiler ( ghc );Glasgow Haskell Compiler (GHC);0
algebraic data type;algebraic data type;algebraic data types, algebraic data type;0
monadreader typeclass;monadreader typeclass;monadreader typeclass;0
domain-specific language for;domain-specific language for;domain-specific language for;0
python web;python web;python web;0
suffixes function;suffix function;suffixes function;0
continuous integration;continuous integration;continuous integration;0
default processing;default processing;default processing;2
value at once;value at once;values at once, value at once;3
debugging;debugging;debugging;37
event-driven;event-driven;event-driven;0
weak head normal form (WHNF) 2nd 3rd;weak head normal form ( whnf ) 2nd 3rd;weak head normal form (WHNF) 2nd 3rd;0
Data.Typeable module;Data.Typeable module;Data.Typeable module;0
Structured Query Language (SQL);structured query language ( sql );Structured Query Language (SQL);0
class name;class name;class name;11
parses html;par html;parses html;2
liftm;liftm;liftm;0
invoking method;invoking method;invoking method;1
object-oriented programming;object-oriented programming;object-oriented programming;0
python project;python project;python project;0
aliasing;aliasing;aliasing;0
tool;tool;tools, tool;6
duck typing;duck typing;duck typing;0
start tag;start tag;start tags, start tag;8
tocalendartime function;tocalendartime function;tocalendartime function;0
grain size;grain size;grain sizes, grain size;0
ODBC driver;odbc driver;ODBC drivers, ODBC driver;0
complete ordering;complete ordering;complete ordering;0
JavaScript Object Notation [See JSON];javascript object notation [ see json ];JavaScript Object Notation [See JSON];0
impure code;impure code;impure code;0
enum typeclass;enum typeclass;enum typeclass;0
-fhpc flag;-fhpc flag;-fhpc flag;0
loosely coupled;loosely coupled;loosely coupled;0
module name;module name;module names, module name;17
else clause;else clause;else clause;0
second slouse;second slouse;second slice, second slouse;0
GTK+ development environment;gtk + development environment;GTK+ development environment;0
lazy function;lazy function;lazy functions, lazy function;0
control flow;control flow;control flow;0
backtracking;backtracking;backtracking;0
non-escaped backslash;non-escaped backslash;non-escaped backslash;0
GHC.Conc module 2nd;GHC.Conc module 2nd;GHC.Conc module 2nd;0
local function;local function;local function;2
c programming;c programming;c programming;0
mutable type;mutable type;mutable types, mutable type;0
abstracting input;abstracting input;abstracting input;4
word16 type;word16 type;word16 type;0
invoke;invoke;invoke;0
date checking;date checking;date checking;6
Map.insert function;Map.insert function;Map.insert function;0
lifting function;lifting function;lifting functions, lifting function;0
compiler;compiler;compilers, compiler;0
test module;test module;test module;2
functions for;function for;functions for;12
bounded type class;bounded type class;bounded type class;0
incremental development;incremental development;incremental development;0
threaded runtime;threaded runtime;threaded runtime;0
set;set;sets, set;70
throwing;throwing;throwing;2
tree;tree;tree;7
anonymous type;anonymous type;anonymous types, anonymous type;0
non- ascii;non- ascii;non- ascii;0
strict type;strict type;strict types, strict type;0
class method;class method;class methods, class method;30
alphabetic character;alphabetic character;alphabetic characters, alphabetic character;0
underscore character (_);underscore character ( _ );underscore character (_);0
individual attribute;individual attribute;individual attributes, individual attribute;5
force function;force function;force function;0
writefile function;writefile function;writefile function;0
debugging information;debugging information;debugging information;8
profiling;profiling;profiling;0
creating;creating;creating;25
special class method;special class method;special class methods, special class method;8
algebraic expression;algebraic expression;algebraic expressions, algebraic expression;0
helper method;helper method;helper method;0
interface;interface;interfaces, interface;4
withforeignptr function;withforeignptr function;withforeignptr function;0
python standard;python standard;python standard;0
understanding;understanding;understanding;7
zipper;zipper;zipper;0
finding statu;finding statu;finding status, finding statu;0
folding;folding;folding;0
license;license;licenses, license;2
hint;hint;hint;0
OverlappingInstances/TypeSynonymInstances language extension;OverlappingInstances/TypeSynonymInstances language extension;OverlappingInstances/TypeSynonymInstances language extensions, OverlappingInstances/TypeSynonymInstances language extension;0
command list;command list;command lists, command list;0
roman;roman;roman;136
transactions (database);transaction ( database );transactions (database);0
word32 type;word32 type;word32 type;0
simple;simple;simple;48
C PCRE API;C PCRE API;C PCRE API;0
fraction comparison;fraction comparison;fraction comparison;0
linux;linux;linux;1
undefined symbol;undefined symbol;undefined symbols, undefined symbol;0
xml datum;xml datum;xml data, xml datum;0
target dictionary;target dictionary;target dictionary;2
python knowledge base;python knowledge base;python knowledge base;8
full path;full path;full path;5
command-line editing;command-line editing;command-line editing;0
last character;last character;last character;0
list element;list element;list elements, list element;1
shadowing parameter;shadowing parameter;shadowing parameters, shadowing parameter;0
compound statement block;compound statement block;compound statement block;0
print function;print function;print function;0
thunk;thunk;thunks, thunk;0
verbose regular expression;verbose regular expression;verbose regular expression;7
single statement;single statement;single statement;3
applicative functor;applicative functor;applicative functor;0
list operation;list operation;list operation;0
floating-point;floating-point;floating-point;0
handling;handling;handling;42
character classification;character classification;character classification;0
double hashing;double hashing;double hashing;0
built-in file;built-in file;built-in file;0
buffermode type;buffermode type;buffermode type;0
error;error;errors, error;53
union keyword (C/C++);union keyword (C/C++);union keyword (C/C++);0
strict and lazy bytestring;strict and lazy bytestring;strict and lazy bytestrings, strict and lazy bytestring;0
loop;loop;loops, loop;82
getstatus function;getstatus function;getstatus function;0
show typeclass;show typeclass;show typeclass;0
calculator;calculator;calculators, calculator;1
master socket;master socket;master sockets, master socket;0
.hs source file;.hs source file;.hs source files, .hs source file;0
list deletion;list deletion;list deletion;0
minimal example;minimal example;minimal example;0
copying;copying;copying;0
composition;composition;composition;0
development;development;development;6
same time;same time;same time;0
temporary;temporary;temporary;13
applicative;applicative;applicative;0
assignment;assignment;assignment;15
command-line flag;command-line flag;command-line flags, command-line flag;12
roman numeral representation;roman numeral representation;roman numeral representation;15
space leaks 2nd 3rd;space leak 2nd 3rd;space leaks 2nd 3rd;0
user;user;user;42
soap server;soap server;soap server;9
stack;stack;stack;3
boolean expression;boolean expression;boolean expressions, boolean expression;0
task;task;task;1
database;database;databases, database;12
cheap modification;cheap modification;cheap modifications, cheap modification;0
seq function;seq function;seq function;0
local variable;local variable;local variables, local variable;14
integer directory;integer directory;integer directory;0
MySQL;mysql;MySQL;0
conditional branching;conditional branching;conditional branching;0
import statement;import statement;import statements, import statement;1
python version;python version;python versions, python version;0
safe language;safe language;safe language;0
source;source;source;43
status code;status code;status code;39
zero-width escape sequence;zero-width escape sequence;zero-width escape sequences, zero-width escape sequence;0
System.Win32 module;System.Win32 module;System.Win32 module;0
record syntax 2nd;record syntax 2nd;record syntax 2nd;0
the reader monad;the reader monad;the reader monad;0
point (.) character;point (.) character;point (.) character;0
child node;child node;child node;13
IConnection function;iconnection function;IConnection function;0
grains system;grain system;grains system;0
minbound function;minbound function;minbound function;0
pseudorandom value generation;pseudorandom value generation;pseudorandom value generation;0
recursive cursor;recursive cursor;recursive cursor;0
integer;integer;integer;44
intel;intel;intel;0
long integer;long integer;long integers, long integer;0
sorting;sorting;sorting;0
python code;python code;python code;9
new identity;new identity;new identities, new identity;0
processing instruction;processing instruction;processing instruction;4
values (undefined);value ( undefined );values (undefined);0
google;google;google;49
match object;match object;match objects, match object;1
multiple value;multiple value;multiple values, multiple value;7
randomr function;randomr function;randomr function;0
slice indice;slice indice;slice indices, slice indice;0
Data.List module;Data.List module;Data.List module;0
maxbound function;maxbound function;maxbound function;0
mplus function;mplus function;mplus function;0
integration;integration;integration;1
printf (c) option;printf ( c ) option;printf (c) option;0
connecting;connecting;connecting;4
FFI binding;ffi binding;FFI binding;0
scientific python;scientific python;scientific python;0
object;object;objects, object;334
run;run;run;73
except statement;except statement;except statement;0
instantiation;instantiation;instantiation;0
step;step;step;53
for loop;for loop;for loop;0
readability;readability;readability;2
run command;run command;run command;0
constraint;constraint;constraints, constraint;0
ghci interpreter 2nd;ghci interpreter 2nd;ghci interpreter 2nd;0
error message;error message;error messages, error message;5
defining new;defining new;defining new;1
block;block;block;51
dynamic exception;dynamic exception;dynamic exceptions, dynamic exception;0
plusptr function;plusptr function;plusptr function;0
concurrent programs 2nd;concurrent program 2nd;concurrent programs 2nd;0
where clause 2nd;where clause 2nd;where clause 2nd;0
immutable string;immutable string;immutable string;0
perl;perl;perl;25
python database api;python database api;python database api;0
type keyword;type keyword;type keyword;0
Mac OS X;Mac OS X;Mac OS X;0
PCRE library and;PCRE library and;PCRE library and;0
RSS format;rss format;RSS format;0
randoms function;randoms function;randoms function;0
wadler;wadler;wadler;0
patternguards language extension;patternguards language extension;patternguards language extension;0
rem function;rem function;rem function;0
\t (tab) character;\ t ( tab ) character;\t (tab) character;0
qualified import;qualified import;qualified imports, qualified import;0
module header;module header;module headers, module header;0
link;link;link;7
line;line;line;192
magic number;magic number;magic numbers, magic number;0
variable naming;variable naming;variable naming;0
type coercion;type coercion;type coercion;3
foreign import declaration;foreign import declaration;foreign import declarations, foreign import declaration;0
alist (association lists);alist ( association list );alist (association lists);0
null value;null value;null values, null value;8
empty list;empty list;empty list;9
takewhile function;takewhile function;takewhile function;0
torational function;torational function;torational function;0
constant;constant;constants, constant;23
xml atom;xml atom;xml atom;0
lazy reading;lazy reading;lazy reading;0
parser;parser;parsers, parser;21
coding class;coding class;coding classes, coding class;0
let expression;let expression;let expressions, let expression;0
parsec;parsec;parsec;0
valid roman numeral;valid roman numeral;valid roman numeral;11
monadtrans class;monadtrans class;monadtrans class;0
first step;first step;first step;6
application;application;applications, application;24
arithmetic;arithmetic;arithmetic;2
type class;type class;type class;0
dispatch function;dispatch function;dispatch function;3
response object;response object;response objects, response object;0
structure;structure;structure;21
:type command 2nd;: type command 2nd;:type command 2nd;0
soundex;soundex;soundex;38
algorithm;algorithm;algorithm;14
unit testing;unit testing;unit testing;28
compact function;compact function;compact function;0
oracle;oracle;oracle;0
string formatting;string formatting;string formatting;44
value constructor;value constructor;value constructors, value constructor;0
ill typed rule;ill typed rule;ill typed rules, ill typed rule;0
code;code;code;265
partial;partial;partial;9
laziness;laziness;laziness;0
CSV file;csv file;CSV files, CSV file;0
chained conditional;chained conditional;chained conditional;0
state monad;state monad;state monad;0
query;query;queries, query;4
deterministic;deterministic;deterministic;0
quality assurance;quality assurance;quality assurance;0
second argument;second argument;second argument;9
main function;main function;main function;0
lines function 2nd 3rd;line function 2nd 3rd;lines function 2nd 3rd;0
function return;function return;function returns, function return;20
zip function;zip function;zip function;0
python object;python object;python objects, python object;22
external link;external link;external links, external link;0
maps 2nd 3rd;map 2nd 3rd;maps 2nd 3rd;0
higher-order function;higher-order function;higher-order function;0
bounded typeclass;bounded typeclass;bounded typeclass;0
puppet lab;puppet lab;puppet labs, puppet lab;0
binary datum;binary datum;binary data, binary datum;0
expression function;expression function;expression functions, expression function;0
try;try;try;61
poke function;poke function;poke function;0
emptydatadecls language extension;emptydatadecls language extension;emptydatadecls language extension;0
fold;fold;fold;0
shorthand syntax;shorthand syntax;shorthand syntax;2
foldm;foldm;foldm;0
line-aligned chunk;line-aligned chunk;line-aligned chunks, line-aligned chunk;0
head normal form (HNF);head normal form ( hnf );head normal form (HNF);0
dates and time;date and time;dates and times, dates and time;0
index;index;index;39
prefix form;prefix form;prefix form;0
x86_64 assembly;x86_64 assembly;x86_64 assembly;0
access;access;access;57
binary tree;binary tree;binary tree;0
map type;map type;map type;0
body;body;body;7
single quoted string;single quoted string;single quoted strings, single quoted string;0
htell function;htell function;htell function;0
high-level language;high-level language;high-level language;0
offside rule;offside rule;offside rule;0
indexerror;indexerror;indexerror;0
System.Directory module;System.Directory module;System.Directory module;0
implementation;implementation;implementation;4
argument name;argument name;argument name;8
transformer stacking order;transformer stacking order;transformer stacking order;0
monadic expression;monadic expression;monadic expressions, monadic expression;0
closed world assumptions;closed world assumptions;closed world assumptions;0
good idea;good idea;good idea;1
unit test;unit test;unit tests, unit test;43
wsdl file;wsdl file;wsdl file;24
api;api;api;13
Foreign.Ptr module;Foreign.Ptr module;Foreign.Ptr module;0
listarray function;listarray function;listarray function;0
reverse function;reverse function;reverse function;0
getstdrandom function;getstdrandom function;getstdrandom function;0
unittest module;unittest module;unittest module;0
zip;zip;zip;4
foldl function;foldl function;foldl function;0
readable;readable;readable;13
guideline;guideline;guidelines, guideline;0
boolean value;boolean value;boolean values, boolean value;1
attribute;attribute;attributes, attribute;221
start;start;start;87
