Term;Stemmed;Variations;Frequency
permanent redirect;permanent redirect;permanent redirect;0
compound statement block;compound statement block;compound statement block;0
keyerror;keyerror;keyerror;4
histogram;histogram;histogram;8
link;link;link;6
scope;scope;scope;1
com api;com api;com apis, com api;0
line;line;line;99
local variable;local variable;local variable;12
true;true;true;56
object-oriented programming language;object-oriented programming language;object-oriented programming language;1
linked implementation;linked implementation;linked implementation;0
wsgi server;wsgi server;wsgi servers, wsgi server;0
method invocation;method invocation;method invocation;2
well-formedlist;well-formedlist;well-formedlist;0
operating system;operating system;operating system;1
block statement;block statement;block statement;0
default;default;default;19
terminal program;terminal program;terminal program;0
fraction addition;fraction addition;fraction addition;1
tree node traversal;tree node traversal;tree node traversal;0
empty list;empty list;empty list;11
python setup;python setup;python setup;0
invalid roman;invalid roman;invalid roman;0
tag name;tag name;tag name;0
distribution;distribution;distribution;0
python documentation;python documentation;python documentation;1
puppet master;puppet master;puppet master;0
sparsematrix;sparsematrix;sparsematrix;0
last occurrence;last occurrence;last occurrence;0
list creation;list creation;list creation;0
values test;value test;values test;0
int;int;int;22
while loop;while loop;while loop;0
package;package;packages, package;0
returns true;return true;returns true;13
coding class;coding class;coding classes, coding class;0
unit testing;unit testing;unit testing;0
file;file;files, file;92
roman numeral;roman numeral;roman numerals, roman numeral;0
check;check;check;38
logical operator overloading;logical operator overloading;logical operator overloading;0
same character;same character;same characters, same character;1
encrypt;encrypt;encrypt;1
local file;local file;local file;0
function frame;function frame;function frame;2
module name;module name;module names, module name;1
application;application;applications, application;4
branch;branch;branch;23
test;test;tests, test;49
boolean expression tree;boolean expression tree;boolean expression tree;0
node;node;node;143
pattern object;pattern object;pattern object;0
while statement;while statement;while statement;0
python program;python program;python programs, python program;5
push;push;push;13
dictionary method;dictionary method;dictionary method;1
string formatting;string formatting;string formatting;0
variable;variable;variables, variable;164
response object;response object;response objects, response object;0
runtime error message;runtime error message;runtime error messages, runtime error message;1
traversal;traversal;traversal;14
structure;structure;structure;43
negative index;negative index;negative index;2
soundex;soundex;soundex;0
html entity;html entity;html entity;0
remote;remote;remote;0
algorithm;algorithm;algorithm;25
command line;command line;command line;4
rule;rule;rules, rule;20
overload;overload;overload;4
compile-time error message;compile-time error message;compile-time error messages, compile-time error message;0
break statement;break statement;break statement;1
directory;directory;directory;12
http;http;http;0
python standard library;python standard library;python standard library;0
top-level statement;top-level statement;top-level statements, top-level statement;0
built-in datatype;built-in datatype;built-in datatypes, built-in datatype;0
list membership;list membership;list membership;1
